"Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species"
"[4.3,5.55]","(3.05,4.4]","[1,2.45]","[0.1,0.8]","setosa"
"[4.3,5.55]","(2.95,3.05]","[1,2.45]","[0.1,0.8]","setosa"
"[4.3,5.55]","(3.05,4.4]","[1,2.45]","[0.1,0.8]","setosa"
"[4.3,5.55]","(3.05,4.4]","[1,2.45]","[0.1,0.8]","setosa"
"[4.3,5.55]","(3.05,4.4]","[1,2.45]","[0.1,0.8]","setosa"
"[4.3,5.55]","(3.05,4.4]","[1,2.45]","[0.1,0.8]","setosa"
"[4.3,5.55]","(3.05,4.4]","[1,2.45]","[0.1,0.8]","setosa"
"[4.3,5.55]","(3.05,4.4]","[1,2.45]","[0.1,0.8]","setosa"
"[4.3,5.55]","[2,2.95]","[1,2.45]","[0.1,0.8]","setosa"
"[4.3,5.55]","(3.05,4.4]","[1,2.45]","[0.1,0.8]","setosa"
"[4.3,5.55]","(3.05,4.4]","[1,2.45]","[0.1,0.8]","setosa"
"[4.3,5.55]","(3.05,4.4]","[1,2.45]","[0.1,0.8]","setosa"
"[4.3,5.55]","(2.95,3.05]","[1,2.45]","[0.1,0.8]","setosa"
"[4.3,5.55]","(2.95,3.05]","[1,2.45]","[0.1,0.8]","setosa"
"(5.55,6.25]","(3.05,4.4]","[1,2.45]","[0.1,0.8]","setosa"
"(5.55,6.25]","(3.05,4.4]","[1,2.45]","[0.1,0.8]","setosa"
"[4.3,5.55]","(3.05,4.4]","[1,2.45]","[0.1,0.8]","setosa"
"[4.3,5.55]","(3.05,4.4]","[1,2.45]","[0.1,0.8]","setosa"
"(5.55,6.25]","(3.05,4.4]","[1,2.45]","[0.1,0.8]","setosa"
"[4.3,5.55]","(3.05,4.4]","[1,2.45]","[0.1,0.8]","setosa"
"[4.3,5.55]","(3.05,4.4]","[1,2.45]","[0.1,0.8]","setosa"
"[4.3,5.55]","(3.05,4.4]","[1,2.45]","[0.1,0.8]","setosa"
"[4.3,5.55]","(3.05,4.4]","[1,2.45]","[0.1,0.8]","setosa"
"[4.3,5.55]","(3.05,4.4]","[1,2.45]","[0.1,0.8]","setosa"
"[4.3,5.55]","(3.05,4.4]","[1,2.45]","[0.1,0.8]","setosa"
"[4.3,5.55]","(2.95,3.05]","[1,2.45]","[0.1,0.8]","setosa"
"[4.3,5.55]","(3.05,4.4]","[1,2.45]","[0.1,0.8]","setosa"
"[4.3,5.55]","(3.05,4.4]","[1,2.45]","[0.1,0.8]","setosa"
"[4.3,5.55]","(3.05,4.4]","[1,2.45]","[0.1,0.8]","setosa"
"[4.3,5.55]","(3.05,4.4]","[1,2.45]","[0.1,0.8]","setosa"
"[4.3,5.55]","(3.05,4.4]","[1,2.45]","[0.1,0.8]","setosa"
"[4.3,5.55]","(3.05,4.4]","[1,2.45]","[0.1,0.8]","setosa"
"[4.3,5.55]","(3.05,4.4]","[1,2.45]","[0.1,0.8]","setosa"
"[4.3,5.55]","(3.05,4.4]","[1,2.45]","[0.1,0.8]","setosa"
"[4.3,5.55]","(3.05,4.4]","[1,2.45]","[0.1,0.8]","setosa"
